taxonOrder,taxonFamily,ncbiNumberOfSpecies,boldNumberOfSpecies,boldNumberOfSequences,dcMNumberOfSpecies,dcF346FreshwaterNumberOfSpecies,S2I3C66MNumberOfSpecies,S2I3C75FNumberOfSpecies,S2I4C29MNumberOfSpecies,S2I5C32FNumberOfSpecies,S3I2C74MNumberOfSpecies,S3I2C75FNumberOfSpecies,S8I2C36MNumberOfSpecies,S8I2C34FNumberOfSpecies,dcMNumberOfSequences,dcF346FreshwaterNumberOfSequences,S2I3C66MNumberOfSequences,S2I3C75FNumberOfSequences,S2I4C29MNumberOfSequences,S2I5C32FNumberOfSequences,S3I2C74MNumberOfSequences,S3I2C75FNumberOfSequences,S8I2C36MNumberOfSequences,S8I2C34FNumberOfSequences
Trachiniformes,Trichonotidae,7,2,13,2,0,1,0,1,0,2,0,2,0,13,0,9,0,3,0,13,0,13,0
Perciformes,Gerreidae,69,20,358,20,0,20,0,13,0,20,0,20,0,357,0,342,0,287,0,356,0,305,0
Perciformes,Neosebastidae,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Sebastidae,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Synanceiidae,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Setarchidae,5,1,7,1,0,1,0,0,0,1,0,1,0,7,0,7,0,0,0,7,0,6,0
Scorpaeniformes,Rhamphocottidae,1,1,4,1,0,1,0,1,0,1,0,1,0,4,0,3,0,1,0,4,0,3,0
Gobiiformes,Grammatidae,15,3,33,3,0,3,0,3,0,3,0,3,0,33,0,33,0,22,0,33,0,33,0
Scorpaeniformes,Bathymasteridae,6,5,43,5,0,5,0,5,0,5,0,5,0,40,0,32,0,19,0,36,0,29,0
Scorpaeniformes,Botiidae,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypriniformes,Nemacheilidae,406,43,216,0,39,0,27,0,11,0,37,0,30,0,202,0,148,0,81,0,190,0,144
Cypriniformes,Denticipitidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypriniformes,Triodontidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobiiformes,Polycentridae,3,1,5,0,1,0,1,0,1,0,0,0,0,0,5,0,5,0,5,0,0,0,0
Tetraodontiformes,Aracanidae,10,1,6,1,0,1,0,1,0,1,0,1,0,6,0,6,0,5,0,6,0,6,0
Characiformes,Acestrorhynchidae,17,1,16,0,1,0,1,0,1,0,1,0,1,0,16,0,16,0,7,0,16,0,16
Scombriformes,Ariommatidae,8,1,14,1,0,1,0,1,0,1,0,1,0,11,0,10,0,1,0,11,0,10,0
Scombriformes,Tetragonuridae,3,1,8,1,0,1,0,1,0,1,0,1,0,7,0,4,0,1,0,6,0,4,0
Siluriformes,Heptapteridae,66,23,226,0,22,0,22,0,14,0,22,0,22,0,205,0,201,0,125,0,202,0,189
Clupeiformes,Dussumieriidae,11,4,40,4,0,3,0,3,0,4,0,4,0,40,0,33,0,21,0,40,0,38,0
Clupeiformes,Amblyopsidae,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Dichistiidae,2,2,16,2,0,2,0,1,0,2,0,2,0,16,0,16,0,9,0,16,0,16,0
Perciformes,Dinolestidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Howellidae,8,1,2,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,1,0
Perciformes,Leptoscopidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Pholidichthyidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Scoloplacidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Anchariidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
