"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
3319,-8.5675304452e6,5.2577698635e6,-8.3675304452e6,5.0577698635e6,0.0062022809008212025,0.0062022809008212025,1,3.0,3.0,NaN
3320,-8.5675304452e6,5.4577698635e6,-8.3675304452e6,5.2577698635e6,0.005005057308402549,0.0015337423312883436,7,3.4285714285714284,2.0,2.1491969707422394
3321,-8.5675304452e6,5.6577698635e6,-8.3675304452e6,5.4577698635e6,0.000950738121627458,0.0008142493638676844,3,6.0,6.0,0.0
3368,-8.3675304452e6,257769.86349999998,-8.1675304452e6,57769.86349999998,0.004370812767398254,0.005112474437627812,15,2.7333333333333334,3.0,0.8837151016885368
3374,-8.3675304452e6,1.4577698635e6,-8.1675304452e6,1.2577698635e6,0.009298753662089487,0.007235716372438546,4,4.75,2.5,4.856267428111155
3375,-8.3675304452e6,1.6577698635e6,-8.1675304452e6,1.4577698635e6,0.03334753924593848,0.014053053200344017,3,7.666666666666667,8.0,3.5118845842842465
3376,-8.3675304452e6,1.8577698635e6,-8.1675304452e6,1.6577698635e6,0.07089348009142307,0.07089348009142307,2,4.0,4.0,1.4142135623730951
3377,-8.3675304452e6,2.0577698635e6,-8.1675304452e6,1.8577698635e6,0.0,0.0,1,3.0,3.0,NaN
3380,-8.3675304452e6,2.6577698635e6,-8.1675304452e6,2.4577698635e6,0.0058329328169027354,0.0052147239263803675,3,3.0,2.0,1.7320508075688772
3381,-8.3675304452e6,2.8577698635e6,-8.1675304452e6,2.6577698635e6,0.0015101218016561227,0.0007160961378744572,4,3.25,2.5,1.8929694486000912
3385,-8.3675304452e6,3.6577698635e6,-8.1675304452e6,3.4577698635e6,0.07985652714141493,0.07985652714141493,2,2.0,2.0,0.0
3386,-8.3675304452e6,3.8577698635e6,-8.1675304452e6,3.6577698635e6,0.019222903885480574,0.019222903885480574,2,4.0,4.0,1.4142135623730951
3387,-8.3675304452e6,4.0577698635e6,-8.1675304452e6,3.8577698635e6,0.011657086076095325,0.009202453987730062,5,3.2,3.0,1.0954451150103321
3388,-8.3675304452e6,4.2577698635e6,-8.1675304452e6,4.0577698635e6,0.005505362370513817,0.0043456032719836404,6,3.8333333333333335,3.5,1.7224014243685086
3389,-8.3675304452e6,4.4577698635e6,-8.1675304452e6,4.2577698635e6,0.007221370143149285,0.005112474437627812,4,3.75,3.5,0.9574271077563381
3390,-8.3675304452e6,4.6577698635e6,-8.1675304452e6,4.4577698635e6,0.016104294478527608,0.016104294478527608,1,4.0,4.0,NaN
3391,-8.3675304452e6,4.8577698635e6,-8.1675304452e6,4.6577698635e6,0.003374233128834356,0.003374233128834356,1,5.0,5.0,NaN
3393,-8.3675304452e6,5.2577698635e6,-8.1675304452e6,5.0577698635e6,0.003067484662576687,0.003067484662576687,1,3.0,3.0,NaN
3394,-8.3675304452e6,5.4577698635e6,-8.1675304452e6,5.2577698635e6,0.013292433537832313,0.013292433537832313,1,4.0,4.0,NaN
3447,-8.1675304452e6,1.2577698635e6,-7.9675304452e6,1.0577698635e6,0.005507939372067845,0.005507939372067845,2,4.5,4.5,2.1213203435596424
3448,-8.1675304452e6,1.4577698635e6,-7.9675304452e6,1.2577698635e6,0.03511067003488512,0.03511067003488512,2,3.0,3.0,1.4142135623730951
3449,-8.1675304452e6,1.6577698635e6,-7.9675304452e6,1.4577698635e6,0.011837329649229617,0.011837329649229617,2,3.0,3.0,1.4142135623730951
3455,-8.1675304452e6,2.8577698635e6,-7.9675304452e6,2.6577698635e6,0.004115226337448559,0.004115226337448559,1,3.0,3.0,NaN
3458,-8.1675304452e6,3.4577698635e6,-7.9675304452e6,3.2577698635e6,0.011454753722794959,0.011454753722794959,1,10.0,10.0,NaN
3460,-8.1675304452e6,3.8577698635e6,-7.9675304452e6,3.6577698635e6,0.047034764826175864,0.047034764826175864,1,3.0,3.0,NaN
3461,-8.1675304452e6,4.0577698635e6,-7.9675304452e6,3.8577698635e6,0.0,0.0,1,2.0,2.0,NaN
3462,-8.1675304452e6,4.2577698635e6,-7.9675304452e6,4.0577698635e6,0.029343568902812353,0.02965235173824131,3,4.0,3.0,2.6457513110645907
3463,-8.1675304452e6,4.4577698635e6,-7.9675304452e6,4.2577698635e6,0.003451360286234563,0.003451360286234563,2,4.0,4.0,1.4142135623730951
3465,-8.1675304452e6,4.8577698635e6,-7.9675304452e6,4.6577698635e6,0.007668711656441718,0.007668711656441718,1,2.0,2.0,NaN
3466,-8.1675304452e6,5.0577698635e6,-7.9675304452e6,4.8577698635e6,0.03580190523694607,0.00391091945506456,4,2.75,3.0,0.5
3467,-8.1675304452e6,5.2577698635e6,-7.9675304452e6,5.0577698635e6,0.0,0.0,1,31.0,31.0,NaN
3468,-8.1675304452e6,5.4577698635e6,-7.9675304452e6,5.2577698635e6,4.074368941132394e-5,0.0,3,10.666666666666666,5.0,12.503332889007368
3511,-7.9675304452e6,-742230.1365,-7.7675304452e6,-942230.1365,0.002434408040725754,0.002434408040725754,2,5.5,5.5,0.7071067811865476
3512,-7.9675304452e6,-542230.1365,-7.7675304452e6,-742230.1365,0.002530933633295838,0.002530933633295838,2,6.5,6.5,0.7071067811865476
3513,-7.9675304452e6,-342230.1365,-7.7675304452e6,-542230.1365,0.007668711656441718,0.007668711656441718,1,2.0,2.0,NaN
3521,-7.9675304452e6,1.2577698635e6,-7.7675304452e6,1.0577698635e6,0.06761940902291003,0.06761940902291003,1,5.0,5.0,NaN
3527,-7.9675304452e6,2.4577698635e6,-7.7675304452e6,2.2577698635e6,0.006134969325153374,0.006134969325153374,1,2.0,2.0,NaN
3529,-7.9675304452e6,2.8577698635e6,-7.7675304452e6,2.6577698635e6,0.006501513114956742,0.003105590062111801,25,3.68,4.0,1.1803954139750517
3530,-7.9675304452e6,3.0577698635e6,-7.7675304452e6,2.8577698635e6,0.002676411284342471,0.0010224948875255625,3,9.0,3.0,11.269427669584644
3531,-7.9675304452e6,3.2577698635e6,-7.7675304452e6,3.0577698635e6,0.005576152616513821,0.0023006134969325155,5,20.6,9.0,20.268201696253172
3532,-7.9675304452e6,3.4577698635e6,-7.7675304452e6,3.2577698635e6,0.005469748847768192,0.005469748847768192,2,11.0,11.0,12.727922061357855
3533,-7.9675304452e6,3.6577698635e6,-7.7675304452e6,3.4577698635e6,0.00378785769052608,0.0030880490515721405,22,2.6818181818181817,2.0,1.04135276655684
3534,-7.9675304452e6,3.8577698635e6,-7.7675304452e6,3.6577698635e6,0.0,0.0,1,2.0,2.0,NaN
3535,-7.9675304452e6,4.0577698635e6,-7.7675304452e6,3.8577698635e6,0.0010224948875255625,0.0010224948875255625,1,3.0,3.0,NaN
3536,-7.9675304452e6,4.2577698635e6,-7.7675304452e6,4.0577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
3537,-7.9675304452e6,4.4577698635e6,-7.7675304452e6,4.2577698635e6,0.005359751262468178,0.003067484662576687,7,4.285714285714286,4.0,1.889822365046136
3540,-7.9675304452e6,5.0577698635e6,-7.7675304452e6,4.8577698635e6,0.005215924900004517,0.0016266964119724858,15,5.266666666666667,4.0,3.348062694981056
3541,-7.9675304452e6,5.2577698635e6,-7.7675304452e6,5.0577698635e6,0.007557597005613843,0.0021239534387569796,6,25.333333333333332,7.5,43.25120422215625
3542,-7.9675304452e6,5.4577698635e6,-7.7675304452e6,5.2577698635e6,0.0,0.0,2,6.5,6.5,4.949747468305833
3569,-7.7675304452e6,-3.9422301365e6,-7.5675304452e6,-4.1422301365e6,0.024758707507223185,0.024758707507223185,2,16.0,16.0,9.899494936611665
3583,-7.7675304452e6,-1.1422301365e6,-7.5675304452e6,-1.3422301365e6,0.001869521473674949,0.001869521473674949,1,6.0,6.0,NaN
3584,-7.7675304452e6,-942230.1365,-7.5675304452e6,-1.1422301365e6,0.001519756838905775,0.001519756838905775,1,10.0,10.0,NaN
3585,-7.7675304452e6,-742230.1365,-7.5675304452e6,-942230.1365,0.020632019940204246,0.020632019940204246,1,6.0,6.0,NaN
3595,-7.7675304452e6,1.2577698635e6,-7.5675304452e6,1.0577698635e6,0.009181178791845811,0.003067484662576688,97,4.144329896907217,3.0,2.43237577073
3603,-7.7675304452e6,2.8577698635e6,-7.5675304452e6,2.6577698635e6,0.06790123456790123,0.06790123456790123,1,2.0,2.0,NaN
3605,-7.7675304452e6,3.2577698635e6,-7.5675304452e6,3.0577698635e6,0.004503909117720235,0.002011855018084318,4,11.25,7.5,8.616843969807043
3606,-7.7675304452e6,3.4577698635e6,-7.5675304452e6,3.2577698635e6,0.012147194962151471,0.0033400068686679466,72,4.416666666666667,4.0,2.746316354888264
3609,-7.7675304452e6,4.0577698635e6,-7.5675304452e6,3.8577698635e6,0.01019370375132974,0.01019370375132974,1,3.0,3.0,NaN
3610,-7.7675304452e6,4.2577698635e6,-7.5675304452e6,4.0577698635e6,0.0017893660531697344,0.0015337423312883436,4,2.75,2.5,0.9574271077563381
3611,-7.7675304452e6,4.4577698635e6,-7.5675304452e6,4.2577698635e6,0.0049079754601227,0.006134969325153374,3,3.3333333333333335,3.0,1.5275252316519468
3612,-7.7675304452e6,4.6577698635e6,-7.5675304452e6,4.4577698635e6,0.0011503067484662577,0.0011503067484662577,2,4.0,4.0,0.0
3614,-7.7675304452e6,5.0577698635e6,-7.5675304452e6,4.8577698635e6,0.011793674666568096,0.01318457294146841,10,6.7,6.5,3.7431418769679454
3615,-7.7675304452e6,5.2577698635e6,-7.5675304452e6,5.0577698635e6,0.007919636164354503,0.0,9,3.4444444444444446,2.0,2.351122663277647
3616,-7.7675304452e6,5.4577698635e6,-7.5675304452e6,5.2577698635e6,0.012867459100204497,0.012867459100204497,1,4.0,4.0,NaN
3617,-7.7675304452e6,5.6577698635e6,-7.5675304452e6,5.4577698635e6,0.005802438402906379,0.004352423839192083,12,3.0833333333333335,3.0,1.3789543689024488
3643,-7.5675304452e6,-3.9422301365e6,-7.3675304452e6,-4.1422301365e6,0.0027266530334014998,0.0027266530334014998,1,10.0,10.0,NaN
3655,-7.5675304452e6,-1.5422301365e6,-7.3675304452e6,-1.7422301365e6,0.000136332651670075,0.0,3,4.333333333333333,5.0,2.0816659994661326
3656,-7.5675304452e6,-1.3422301365e6,-7.3675304452e6,-1.5422301365e6,0.0019123224826019059,0.0015518005220020996,6,3.6666666666666665,3.5,1.632993161855452
3669,-7.5675304452e6,1.2577698635e6,-7.3675304452e6,1.0577698635e6,0.09803248439925244,0.09803248439925244,2,3.0,3.0,1.4142135623730951
3679,-7.5675304452e6,3.2577698635e6,-7.3675304452e6,3.0577698635e6,0.010691344151368395,0.004603525970508048,42,3.238095238095238,3.0,1.985428918573636
3681,-7.5675304452e6,3.6577698635e6,-7.3675304452e6,3.4577698635e6,0.005249241269717218,0.005249241269717218,1,3.0,3.0,NaN
3682,-7.5675304452e6,3.8577698635e6,-7.3675304452e6,3.6577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
3684,-7.5675304452e6,4.2577698635e6,-7.3675304452e6,4.0577698635e6,0.003067484662576687,0.003067484662576687,1,2.0,2.0,NaN
3686,-7.5675304452e6,4.6577698635e6,-7.3675304452e6,4.4577698635e6,0.0011929107021131562,0.0015337423312883436,3,3.3333333333333335,3.0,0.5773502691896258
3687,-7.5675304452e6,4.8577698635e6,-7.3675304452e6,4.6577698635e6,0.00899795501022495,0.00899795501022495,1,6.0,6.0,NaN
3689,-7.5675304452e6,5.2577698635e6,-7.3675304452e6,5.0577698635e6,0.0,0.0,2,2.5,2.5,0.7071067811865476
3709,-7.3675304452e6,-5.5422301365e6,-7.1675304452e6,-5.7422301365e6,0.0,0.0,1,3.0,3.0,NaN
3710,-7.3675304452e6,-5.3422301365e6,-7.1675304452e6,-5.5422301365e6,0.003278568486085957,0.003278568486085957,1,10.0,10.0,NaN
3729,-7.3675304452e6,-1.5422301365e6,-7.1675304452e6,-1.7422301365e6,0.0,0.0,1,2.0,2.0,NaN
3750,-7.3675304452e6,2.6577698635e6,-7.1675304452e6,2.4577698635e6,0.044238683127572016,0.044238683127572016,1,3.0,3.0,NaN
3752,-7.3675304452e6,3.0577698635e6,-7.1675304452e6,2.8577698635e6,0.0025585931978174214,0.0025585931978174214,2,2.5,2.5,0.7071067811865476
3753,-7.3675304452e6,3.2577698635e6,-7.1675304452e6,3.0577698635e6,0.0,0.0,1,2.0,2.0,NaN
3758,-7.3675304452e6,4.2577698635e6,-7.1675304452e6,4.0577698635e6,0.010195722521704687,0.006926808389213868,5,2.8,3.0,0.8366600265340756
