"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
2945,-9.5675304452e6,4.4577698635e6,-9.3675304452e6,4.2577698635e6,0.02929447852760736,0.02929447852760736,1,5.0,5.0,NaN
2948,-9.5675304452e6,5.0577698635e6,-9.3675304452e6,4.8577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
3009,-9.3675304452e6,2.4577698635e6,-9.1675304452e6,2.2577698635e6,0.026873636513773422,0.0037111610940363596,6,10.5,4.5,16.95582495781317
3010,-9.3675304452e6,2.6577698635e6,-9.1675304452e6,2.4577698635e6,0.007643312101910829,0.007643312101910829,1,10.0,10.0,NaN
3015,-9.3675304452e6,3.6577698635e6,-9.1675304452e6,3.4577698635e6,0.00408997955010225,0.00408997955010225,1,3.0,3.0,NaN
3017,-9.3675304452e6,4.0577698635e6,-9.1675304452e6,3.8577698635e6,0.003834355828220859,0.003834355828220859,2,2.0,2.0,0.0
3018,-9.3675304452e6,4.2577698635e6,-9.1675304452e6,4.0577698635e6,0.008680417231030732,0.0028118609406952966,7,7.428571428571429,4.0,11.311603818750944
3019,-9.3675304452e6,4.4577698635e6,-9.1675304452e6,4.2577698635e6,0.024539877300613498,0.024539877300613498,2,3.5,3.5,2.1213203435596424
3020,-9.3675304452e6,4.6577698635e6,-9.1675304452e6,4.4577698635e6,0.01625766871165644,0.0,5,2.2,2.0,0.44721359549995787
3021,-9.3675304452e6,4.8577698635e6,-9.1675304452e6,4.6577698635e6,0.019631901840490795,0.019631901840490795,1,10.0,10.0,NaN
3022,-9.3675304452e6,5.0577698635e6,-9.1675304452e6,4.8577698635e6,0.004479995150726275,0.004479995150726275,2,3.5,3.5,0.7071067811865476
3024,-9.3675304452e6,5.4577698635e6,-9.1675304452e6,5.2577698635e6,0.008691206543967281,0.008691206543967281,1,4.0,4.0,NaN
3025,-9.3675304452e6,5.6577698635e6,-9.1675304452e6,5.4577698635e6,0.003858097969572072,0.003858097969572072,1,4.0,4.0,NaN
3026,-9.3675304452e6,5.8577698635e6,-9.1675304452e6,5.6577698635e6,0.0,0.0,2,2.5,2.5,0.7071067811865476
3090,-9.1675304452e6,3.8577698635e6,-8.9675304452e6,3.6577698635e6,0.03973122991527899,0.03374233128834356,3,3.6666666666666665,2.0,2.886751345948129
3091,-9.1675304452e6,4.0577698635e6,-8.9675304452e6,3.8577698635e6,0.014826175869120654,0.013803680981595092,3,2.0,2.0,0.0
3092,-9.1675304452e6,4.2577698635e6,-8.9675304452e6,4.0577698635e6,0.013512647537320142,0.007562201772324473,16,7.5,3.0,13.114877048604
3093,-9.1675304452e6,4.4577698635e6,-8.9675304452e6,4.2577698635e6,0.009069418422181175,0.008819018404907977,14,4.714285714285714,3.5,4.462296260008731
3094,-9.1675304452e6,4.6577698635e6,-8.9675304452e6,4.4577698635e6,0.014639606896752247,0.014639606896752247,2,2.0,2.0,0.0
3103,-9.1675304452e6,6.4577698635e6,-8.9675304452e6,6.2577698635e6,0.01551293672554197,0.011136822508117764,3,22.333333333333332,14.0,20.79262689833426
3164,-8.9675304452e6,3.8577698635e6,-8.7675304452e6,3.6577698635e6,0.02116256065042083,0.004601226993865031,11,3.3636363636363638,2.0,2.157439559882375
3165,-8.9675304452e6,4.0577698635e6,-8.7675304452e6,3.8577698635e6,0.014655760054533062,0.0015337423312883436,6,2.3333333333333335,2.0,0.5163977794943222
3166,-8.9675304452e6,4.2577698635e6,-8.7675304452e6,4.0577698635e6,0.013887282510308763,0.007413087934560327,8,3.625,3.0,2.065879266282796
3167,-8.9675304452e6,4.4577698635e6,-8.7675304452e6,4.2577698635e6,0.0092315503546177,0.003067484662576687,17,4.176470588235294,3.0,2.743977362280141
3168,-8.9675304452e6,4.6577698635e6,-8.7675304452e6,4.4577698635e6,0.01638532180009907,0.007668711656441718,7,3.142857142857143,3.0,0.8997354108424372
3169,-8.9675304452e6,4.8577698635e6,-8.7675304452e6,4.6577698635e6,0.009713701431492843,0.009202453987730062,3,2.3333333333333335,2.0,0.5773502691896258
3170,-8.9675304452e6,5.0577698635e6,-8.7675304452e6,4.8577698635e6,0.004447852760736197,0.002044989775051125,4,3.25,2.5,1.8929694486000912
3171,-8.9675304452e6,5.2577698635e6,-8.7675304452e6,5.0577698635e6,0.009032038173142468,0.005623721881390593,3,2.6666666666666665,2.0,1.1547005383792515
3172,-8.9675304452e6,5.4577698635e6,-8.7675304452e6,5.2577698635e6,0.004192224610143074,0.0013292433537832311,16,5.625,5.0,2.187083293643233
3229,-8.7675304452e6,2.0577698635e6,-8.5675304452e6,1.8577698635e6,0.007129927228580693,0.0019135261466549812,12,5.333333333333333,5.5,2.3094010767585034
3230,-8.7675304452e6,2.2577698635e6,-8.5675304452e6,2.0577698635e6,0.0,0.0,1,3.0,3.0,NaN
3231,-8.7675304452e6,2.4577698635e6,-8.5675304452e6,2.2577698635e6,0.03450972951320811,0.03450972951320811,1,5.0,5.0,NaN
3238,-8.7675304452e6,3.8577698635e6,-8.5675304452e6,3.6577698635e6,0.017455911298568508,0.014084410604732691,8,3.625,3.0,2.1339098923270936
3239,-8.7675304452e6,4.0577698635e6,-8.5675304452e6,3.8577698635e6,0.036975332310838445,0.02121676891615542,10,2.8,2.5,1.0327955589886446
3240,-8.7675304452e6,4.2577698635e6,-8.5675304452e6,4.0577698635e6,0.019697264916392884,0.011512491400676637,12,2.6666666666666665,2.0,1.0730867399773196
3241,-8.7675304452e6,4.4577698635e6,-8.5675304452e6,4.2577698635e6,0.016343066235052682,0.005214723926380369,14,4.285714285714286,3.0,3.8715644110631806
