"","cell","left","top","right","bottom","Distance_from_shore"
"129",2392,-10967530.4452,-2542230.1365,-10767530.4452,-2742230.1365,682.572308921814
"130",2422,-10967530.4452,3457769.8635,-10767530.4452,3257769.8635,28.1460055932799
"131",2428,-10967530.4452,4657769.8635,-10767530.4452,4457769.8635,NA
"132",2430,-10967530.4452,5057769.8635,-10767530.4452,4857769.8635,NA
"133",2431,-10967530.4452,5257769.8635,-10767530.4452,5057769.8635,NA
"134",2432,-10967530.4452,5457769.8635,-10767530.4452,5257769.8635,NA
"135",2491,-10767530.4452,2457769.8635,-10567530.4452,2257769.8635,78.0057222204634
"136",2493,-10767530.4452,2857769.8635,-10567530.4452,2657769.8635,108.971330510748
"137",2494,-10767530.4452,3057769.8635,-10567530.4452,2857769.8635,33.3579757181524
"138",2495,-10767530.4452,3257769.8635,-10567530.4452,3057769.8635,41.8296613344216
"139",2496,-10767530.4452,3457769.8635,-10567530.4452,3257769.8635,35.0913210786306
"140",2504,-10767530.4452,5057769.8635,-10567530.4452,4857769.8635,NA
"141",2505,-10767530.4452,5257769.8635,-10567530.4452,5057769.8635,NA
"142",2537,-10567530.4452,-3142230.1365,-10367530.4452,-3342230.1365,134.674336792637
"143",2560,-10567530.4452,1457769.8635,-10367530.4452,1257769.8635,843.218957901001
"144",2568,-10567530.4452,3057769.8635,-10367530.4452,2857769.8635,63.9984752864356
"145",2570,-10567530.4452,3457769.8635,-10367530.4452,3257769.8635,8.86609014123678
"146",2571,-10567530.4452,3657769.8635,-10367530.4452,3457769.8635,NA
"147",2580,-10567530.4452,5457769.8635,-10367530.4452,5257769.8635,NA
"148",2642,-10367530.4452,3057769.8635,-10167530.4452,2857769.8635,33.404846856271
"149",2644,-10367530.4452,3457769.8635,-10167530.4452,3257769.8635,NA
"150",2645,-10367530.4452,3657769.8635,-10167530.4452,3457769.8635,NA
"151",2648,-10367530.4452,4257769.8635,-10167530.4452,4057769.8635,NA
"152",2649,-10367530.4452,4457769.8635,-10167530.4452,4257769.8635,NA
"153",2651,-10367530.4452,4857769.8635,-10167530.4452,4657769.8635,NA
"154",2715,-10167530.4452,2857769.8635,-9967530.4452,2657769.8635,6.82776030153036
"155",2717,-10167530.4452,3257769.8635,-9967530.4452,3057769.8635,NA
"156",2719,-10167530.4452,3657769.8635,-9967530.4452,3457769.8635,NA
"157",2721,-10167530.4452,4057769.8635,-9967530.4452,3857769.8635,NA
"158",2722,-10167530.4452,4257769.8635,-9967530.4452,4057769.8635,NA
"159",2723,-10167530.4452,4457769.8635,-9967530.4452,4257769.8635,NA
"160",2726,-10167530.4452,5057769.8635,-9967530.4452,4857769.8635,NA
"161",2787,-9967530.4452,2457769.8635,-9767530.4452,2257769.8635,10.5099736402432
"162",2790,-9967530.4452,3057769.8635,-9767530.4452,2857769.8635,NA
"163",2792,-9967530.4452,3457769.8635,-9767530.4452,3257769.8635,NA
"164",2799,-9967530.4452,4857769.8635,-9767530.4452,4657769.8635,NA
"165",2800,-9967530.4452,5057769.8635,-9767530.4452,4857769.8635,NA
"166",2801,-9967530.4452,5257769.8635,-9767530.4452,5057769.8635,NA
"167",2861,-9767530.4452,2457769.8635,-9567530.4452,2257769.8635,NA
