"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"260",4685,-4667530.4452,-2842230.1365,0.019013167025345,0.00366979313606511,50,5.1,4,3.84521966676993,"BRA","Land",NA,NA,NA,620.093848829855,TRUE,"0.754",0.051812975,4.97911685878791,20.293244008807,4.30037849265447,0,0,13.7713038241494,1725,478.881963264077,465.069858476363,128.565943992773,3191.46567299006
"261",4686,-4667530.4452,-2642230.1365,0.0108185044904047,0.00297029058992101,31,3.70967741935484,3,1.6771711975247,"BRA","Land",NA,NA,NA,577.03851709196,TRUE,"0.754",0.051812975,5,21.0484846619792,4.60996042294045,0,0,13.3414252153485,1503,418.238057948316,404.969146436962,118.451840250587,4788.65465935787
"262",4687,-4667530.4452,-2442230.1365,0.0273590564653275,0.00921658986175115,9,3.22222222222222,3,1.48136573621926,"BRA","Land",NA,NA,NA,716.043301183336,TRUE,"0.754",0.051812975,NA,21.6522360659951,5.0153894147578,0,0,12.6909411246513,1503,439.15489649097,426.46674497137,124.028630157099,6364.63632359419
"263",4688,-4667530.4452,-2242230.1365,0.012681719522884,0.00792752361737917,14,4.28571428571429,3,3.83162089478052,"BRA","Land",NA,NA,NA,744.044578853047,TRUE,"0.754",0.051812975,NA,22.4402702202339,5.37134334719897,0,0,15.5514293721973,867,422.053671524664,406.622337443946,135.9096132287,8241.7778867713
"264",4689,-4667530.4452,-2042230.1365,0.0199439303473614,0.00715400033809075,9,5,4,2.87228132326901,"BRA","Land",NA,NA,NA,914.646422663358,TRUE,"0.754",0.051812975,NA,23.1982083842383,5.97358137369156,0,1,20.9746488523467,1149,396.611853374443,375.695272353546,158.038711887633,654.462315861596
"265",4690,-4667530.4452,-1842230.1365,0.0930583495075138,0.100876188862406,3,5.33333333333333,5,1.52752523165195,"BRA","Land",NA,NA,NA,711.348387096774,TRUE,"0.754",0.051812975,NA,23.8478627834425,6.61644874315192,0,0,25.0077797725913,1622,774.822112507481,749.759126271694,228.268252543387,4124.70601436266
"266",4693,-4667530.4452,-1242230.1365,0.101436509908145,0.101436509908145,1,6,6,NA,"BRA","Land",NA,NA,NA,299.458938523898,TRUE,"0.754",0.051812975,NA,25.194217876828,6.51217516977885,0,0,11.873114924597,1622,384.250476685734,372.431443924424,102.284798058589,9339.92182353961
"267",4695,-4667530.4452,-842230.1365,0.000766871165644172,0.000766871165644172,1,4,4,NA,"BRA","Land",NA,NA,NA,208.082915959253,TRUE,"0.754",0.051812975,NA,25.4956988114491,5.75504016588233,0,0,10.621272885789,1622,358.454402789887,347.785178727114,86.7070619006103,33926.3996512642
"268",4741,-4467530.4452,-6442230.1365,0.00194436773622734,0.00206579170547027,3,2.66666666666667,3,0.577350269189626,"ATA","Sea",0.420136410242472,0.134095384788055,0.954707695108194,-1703.33203583565,FALSE,"NP",NA,7,-4.9579714790189,NA,0,NA,NA,NA,NA,NA,NA,NA
"269",4758,-4467530.4452,-3042230.1365,0.00402879571360173,0.00474910394265233,5,4.6,5,1.14017542509914,"BRA","Sea",0.802072095143241,0.496816279513891,1.34159534670586,43.0864908911007,TRUE,"0.754",0.051812975,4.67914666964793,19.5034544296811,3.73617325400279,0,0,28.5994647636039,2193,975.315789473684,946.872435325602,308.624442462087,207.634255129349
