cell,ISO3,Cell,cloMeanVal,cloMinVal,cloMaxVal,bathyVal,AP,HDI_2015,fshD
3377,HND,Land,0.53106040302539,0.234134228187519,1.08330872864931,233.967130058696,TRUE,0.625,0.0452142
3380,MEX,Sea,0.0900760006010532,0.0650339999645948,0.127706000462174,-3334.17618473896,TRUE,0.762,0.063064971
3381,CUB,Land,0.156422000288963,0.113544000215828,0.216044001147151,-1465.66104813342,TRUE,0.775,0.28860802
3385,USA,Sea,0.905323254222681,0.561001893196304,1.43889036092956,-174.881890352106,TRUE,0.920,0.05036092
3386,USA,Land,5.44473610280289,3.37145835906267,8.18815278593037,56.3287830219963,TRUE,0.920,0.05036092
3387,USA,Land,NA,NA,NA,182.661389954437,TRUE,0.920,0.05036092
3388,USA,Land,NA,NA,NA,301.139822447685,TRUE,0.920,0.05036092
3389,USA,Land,NA,NA,NA,288.787338193978,TRUE,0.920,0.05036092
3390,USA,Land,NA,NA,NA,223.755255330947,TRUE,0.920,0.05036092
3391,USA,Land,NA,NA,NA,263.767998824567,TRUE,0.920,0.05036092
3393,USA,Land,NA,NA,NA,205.527356574587,TRUE,0.920,0.05036092
3394,USA,Land,NA,NA,NA,130.008867587137,TRUE,0.920,0.05036092
3447,CRI,Land,0.74592499896884,0.331390001028776,1.97853000536561,243.701970184402,TRUE,0.776,0.05560111
3448,CRI,Land,0.588130436546129,0.243173912718244,1.32143912723531,-331.588279820854,TRUE,0.776,0.05560111
3449,NIC,Sea,1.1463258464294,0.580790261553133,2.48462171333559,-75.8721102024679,FALSE,0.645,0.061887043
3455,CUB,Land,1.83669040413344,1.1431397274851,3.27684657994198,-850.734168199893,TRUE,0.775,0.28860802
3458,USA,Sea,0.896713176814392,0.466844962462205,1.66933721399238,-61.521498315537,TRUE,0.920,0.05036092
3460,USA,Land,21.4166999816895,13.6775999069214,30.5014001846313,59.1658929295162,TRUE,0.920,0.05036092
3461,USA,Land,NA,NA,NA,146.096187440344,TRUE,0.920,0.05036092
3462,USA,Land,NA,NA,NA,482.650567181005,TRUE,0.920,0.05036092
