x	y	cell	GD_mean	GD_median	nb_species	nb_indv_mean	nb_indv_median	nb_indv_sd	ISO3	Cell	cloMeanVal	cloMinVal	cloMaxVal	bathyVal	AP	HDI_2015	fshD	O2	SST	VEL	basin_area	is_marine
1732469.5548	4957769.8635	7092	0.001564551712282	0.001150306748466	8	3.5	3	1.19522860933439	HRV	Sea	0.262469444134169	0.161522222310305	0.393683333363798	27.0175821395817	TRUE	0.827	0.091580056	5.00008287276751	11.3258458637336	7.74709548624644	NA	0
1732469.5548	5157769.8635	7093	0.001543209876543	0.001543209876543	2	2	2	0	BIH	Land	NA	NA	NA	475.423564982363	TRUE	0.75	0.066054932	5	10.0607294751946	9.26825990187125	802142.862437	0
1732469.5548	5557769.8635	7095	0.006727448872804	0.001610429447853	18	5.88888888888889	5	2.80522388513852	SVK	Land	NA	NA	NA	364.844339028588	TRUE	0.845	0.039100902	7	8.28869604293951	22.7463539131183	802142.862437	0
1732469.5548	6357769.8635	7099	0.024539877300614	0.024539877300614	2	2	2	0	SWE	Sea	13.9538014225115	7.05207336929915	20.4388676465944	-9.08420849172089	TRUE	0.913	0.078469369	7.69631309797122	4.15323981201052	39.795850736807	NA	0
1932469.5548	-642230.1365	7138	0.019081991917521	0.00353982300885	14	2	2	0	COD	Land	NA	NA	NA	543.487261214169	TRUE	0.435	0.248643257	NA	24.0963241670025	6.04808607881185	3453181.86321	0
1932469.5548	-242230.1365	7140	0.001533742331288	0.001533742331288	2	2	2	0	COD	Land	NA	NA	NA	361.858070580193	TRUE	0.435	0.248643257	NA	24.8926933694372	7.69002405041931	3453181.86321	0
1932469.5548	157769.8635	7142	0.003072196620584	0.003072196620584	1	2	2	NA	COD	Land	NA	NA	NA	359.583519262234	FALSE	0.435	0.248643257	NA	24.919449622273	7.39531819493163	3453181.86321	0
1932469.5548	4557769.8635	7164	0.007298754415319	0.001022494887526	5	6	5	3.53553390593274	GRC	Sea	0.334284154688074	0.153757741841028	0.591007286326481	-1502.42661020652	TRUE	0.866	0.080343958	4.91517437629205	13.558617976912	1.68371185980204	NA	0
1932469.5548	4757769.8635	7165	0.004561408159614	0.001321939818872	12	5.41666666666667	6	2.46644143115812	ALB	Land	0.488711342292348	0.348845360397371	0.67227319412932	413.182828876482	TRUE	0.764	0.02607621	4.99784242232824	12.1948499380109	4.12345281610773	NA	0
1932469.5548	4957769.8635	7166	0.013253496426016	0.001533742331288	3	3	2	1.73205080756888	SRB	Land	0.674411763163174	0.320705880137051	1.26591175969909	884.27657085033	TRUE	0.776	0.021276829	4.99903631464202	11.1669599752106	8.1001905529882	802142.862437	0
1932469.5548	5757769.8635	7170	0.001533742331288	0.001533742331288	1	2	2	NA	POL	Land	NA	NA	NA	169.689775714152	TRUE	0.855	0.069168079	7.36054747363933	7.69260240782551	35.1389717075359	193659.069947	0
2132469.5548	-2242230.1365	7204	0.0332661093991	0.0332661093991	1	6	6	NA	AGO	Land	NA	NA	NA	1022.41203196625	TRUE	0.533	0.17764649	NA	22.1137931971781	9.86495567657794	1286489.58873	0
2132469.5548	-842230.1365	7211	0	0	2	2	2	0	COD	Land	NA	NA	NA	735.439294018178	TRUE	0.435	0.248643257	NA	23.4932915176052	5.90790252215671	3453181.86321	0
2132469.5548	-242230.1365	7214	0.00319389906437	0.00319389906437	2	2.5	2.5	0.707106781186548	COD	Land	NA	NA	NA	434.280739981201	TRUE	0.435	0.248643257	NA	24.7757235369282	7.37969300839626	3453181.86321	0
2132469.5548	4357769.8635	7237	0.000340831629175	0	3	2.66666666666667	3	0.577350269189626	GRC	Sea	0.164952381655122	0.109859308074692	0.239508658889439	-1658.00829067342	TRUE	0.866	0.080343958	4.74740654305048	15.537121805427	1.71225885671118	NA	0
2132469.5548	4557769.8635	7238	0.00568542276083	0.000860048319321	9	6.88888888888889	6	3.68932393686311	GRC	Land	0.91164331802517	0.392726111848643	1.82838855370594	421.730083513972	TRUE	0.866	0.080343958	4.91512647802528	13.6598950392569	2.09208994209317	NA	0
